LConfiguration,LTerm,LTerm (atlas),LJ,LLevel,UConfiguration,UTerm,UTerm (atlas),UJ,ULevel,Wavelength,log gf (DREAM),gf (DREAM),gf (atlas),A DREAM,A atlas,CF,Disagreement
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<2>),"(5/2,2)",,3.5,72202.03,1969.152,-2.86,0.001,,0.30,,0.005,
4f13.(2F*<7/2>).5d.6s.(1D),1[7/2]*,,3.5,37516.59,,,,3.5,88297.00,1969.279,-2.82,0.002,,0.33,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",,3.5,77449.32,1972.764,-3.51,0.000,,0.07,,0.000,
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,,5.5,30562.79,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,4.5,81205.27,1974.627,-3.62,0.000,,0.04,,0.000,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,2.5,32371.10,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,2.5,82891.80,1979.387,-2.92,0.001,,0.34,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,,3.5,33494.68,,,,4.5,83871.00,1985.059,-3.97,0.000,,0.02,,0.000,
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,,4.5,30224.33,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,,3.5,80457.71,1990.708,-3.65,0.000,,0.05,,0.000,
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",,1.5,77284.02,1991.151,-0.71,0.195,,83.25,,0.140,
4f13.(2F*).6s2,2F*,2F2.5 1S2.5,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,3.5,81692.92,1995.019,-1.06,0.087,0.141,18.38,18.123,0.197,0.006
4f13.(2F*).6s2,2F*,,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,1996.444,-2.06,0.009,,2.45,,0.042,
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(1F*<3>),"(7/2,3)",,2.5,71468.70,1998.004,-1.99,0.010,,2.87,,0.060,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,2.5,32371.10,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,1.5,82398.98,1998.885,-3.45,0.000,,0.15,,0.000,
4f13.(2F*<7/2>).5d.6s.(1D),1[9/2]*,,4.5,38342.02,,,,3.5,88297.00,2001.170,-2.59,0.003,,0.54,,0.001,
4f13.(2F*).6s2,2F*,2F2.5 1S2.5,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(3P*<1>),"(5/2,1)",2F2.5 3P2.0,1.5,81512.62,2001.573,-1.44,0.036,0.054,15.10,13.782,0.183,0.040
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f14.7d,2D,,2.5,76676.31,2002.665,-3.42,0.000,,0.11,,0.002,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,1.5,32981.59,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,2.5,82891.80,2002.949,-2.99,0.001,,0.28,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,,3.5,33494.68,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,3.5,83363.88,2004.597,-3.48,0.000,,0.07,,0.000,
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<2>),"(5/2,2)",,2.5,71270.01,2005.318,-2.07,0.009,,2.37,,0.043,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(3P*<2>),"(7/2,2)",2F3.5 3P2.0,3.5,71222.36,2007.237,-1.84,0.014,0.039,3.03,6.598,0.033,-0.339
4f13.(2F*).6s2,2F*,2F2.5 1S2.5,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,2.5,81312.65,2009.620,-1.74,0.018,0.065,5.08,10.971,0.036,-0.334
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(3D*<3>),,,1.5,76799.07,2009.916,-2.13,0.007,,3.05,,0.071,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,3.5,31979.90,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,3.5,81692.92,2010.895,-2.85,0.001,,0.29,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(1F*<3>),,,1.5,78464.76,2011.148,-2.11,0.008,,3.23,,0.006,
4f13.(2F*<5/2>).5d.6s.(3D),3[9/2]*,,3.5,40035.82,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,2012.340,-2.50,0.003,,0.87,,0.003,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,3.5,31979.90,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,2012.344,-3.86,0.000,,0.04,,0.000,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(3P*<1>),,2F3.5 3P1.0,2.5,70954.27,2018.102,-0.82,0.151,0.254,40.83,56.683,0.162,-0.142
4f14.6p,2P*,,1.5,30392.23,,,,0.5,79860.00,2020.848,-3.47,0.000,,0.28,,0.001,
4f14.6p,2P*,2P,0.5,27061.82,4f14.7d,2D,2D,1.5,76517.21,2021.372,-0.87,0.135,0.317,54.75,26.442,0.126,0.316
